,pondID,depth,SampleSize,nChironomidae,nOligochaeta,nCeratopogonidae,nCoenagrionidae,nBaetidae,nCaenidae,nHirudinea,nMiscDiptera,nHydrachnida,nHydropsychidae,nHaliplidae,nPhysidae,nCulicidae,nHydrobiidae,nParonellinae,nVeliidae,nPolycentropodidae,nCorduliidae,nHeptageniidae,nAsellidae
T106A1,T106A1,50,202,130,13,2,0,0,49,1,1,2,0,0,1,0,0,0,0,0,0,1,2
T106A2,T106A2,100,144,110,26,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0
T106A3,T106A3,150,57,18,30,4,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0
T108A1,T108A1,50,179,78,80,9,0,0,5,1,1,3,0,0,1,1,0,0,0,0,0,0,0
T108A2,T108A2,100,110,90,7,6,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
T108A3,T108A3,150,66,57,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T109A1,T109A1,50,627,594,26,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
T109A2,T109A2,100,132,105,23,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T109A3,T109A3,150,191,102,84,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
T106B1,T106B1,50,331,269,44,11,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
T106B2,T106B2,100,134,93,38,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
T106B3,T106B3,150,138,46,79,5,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0
T108B1,T108B1,50,80,46,6,18,2,1,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0
T108B2,T108B2,100,78,58,12,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
T108B3,T108B3,150,16,10,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T109B1,T109B1,50,281,263,6,1,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
T109B2,T109B2,100,205,91,102,3,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
T109B3,T109B3,150,180,84,94,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
